"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"Q14004",-0.0399155641006939,9.29551563430176,-0.705932848177537,0.482202857830584,0.821866298255867,-6.60511715319589,"unchanged"
"Q7Z4H3",0.0398891079858998,9.97843749802521,0.604104152257218,0.547418914673022,0.859420259441935,-6.6715333872135,"unchanged"
"Q8IXM2",0.0398772913425827,8.0684795185228,0.630721776561016,0.529952018412517,0.851191397372689,-6.65515920801788,"unchanged"
"P06132",-0.0398684227857586,11.280597668395,-0.727547741933747,0.468933884591769,0.814258912794133,-6.58970604597117,"unchanged"
"Q86VP3",-0.0398272062800018,5.57804038574506,-0.582564988617841,0.561762449805519,0.867865447550442,-6.6842712495561,"unchanged"
"O95433",-0.0398193168687051,11.842866889053,-0.620649410137372,0.5365276159504,0.854248129797769,-6.66143760720696,"unchanged"
"Q7Z5L9",-0.0398146352455004,10.9066385119956,-0.667847668463732,0.506080088053485,0.836732048256553,-6.63115355159291,"unchanged"
"Q9BXB5",0.0398018093185506,8.90360236802454,0.703978315709646,0.483412872759546,0.823098175794733,-6.60648807310909,"unchanged"
"Q6P1Q9",-0.0397922914941997,9.88159463520506,-0.620287279810458,0.536764803465119,0.854248129797769,-6.66166146905148,"unchanged"
"Q96FJ0",-0.0397855371854225,7.47251314746084,-0.684854536286457,0.495340122691232,0.831434242406455,-6.61970340552993,"unchanged"
"Q9UBB9",0.0397804203049894,9.58524110183993,0.795390954180492,0.428650535270268,0.789337638932274,-6.53835780561625,"unchanged"
"Q9Y3S2",-0.0397779660102202,8.34140761163396,-0.734680820656419,0.464600572451842,0.810684868494012,-6.5845195678329,"unchanged"
"Q32MZ4",0.0397723052265331,11.9031797499188,0.758817097555291,0.450107363848051,0.798101092155359,-6.56659976261212,"unchanged"
"Q9H788",-0.0397225202126332,11.1164138321635,-0.738296256244985,0.462412902747885,0.809234093420028,-6.58187170451624,"unchanged"
"Q5VV52",-0.0397154847234606,7.52365678214589,-0.661862458161933,0.509889259502818,0.838156966820676,-6.63511543946899,"unchanged"
"Q12904",-0.0397103926460183,11.6383882428731,-0.830177517133224,0.408815354666421,0.774474051196324,-6.51028184777012,"unchanged"
"Q16401",0.0397081644682373,11.9202913582345,0.681944172107598,0.497169208553379,0.832586379403288,-6.62168304650588,"unchanged"
"P13473",-0.039705814988972,12.7549446551613,-0.497860049201913,0.619896693624798,0.8914665792432,-6.72991163957375,"unchanged"
"Q96BH1",0.0397039625884883,8.4691473693012,0.593242322780121,0.554629023871542,0.864433206663697,-6.67801417624591,"unchanged"
"Q16851",0.0396891529455559,10.1127924461712,0.660298900748866,0.510886866044109,0.839004124545536,-6.63614461727006,"unchanged"
"Q15751",-0.0396836712459425,9.01080847558925,-0.689518958622928,0.492416305934215,0.829884769294637,-6.61651326432959,"unchanged"
"Q8WZ82",0.0396694144805547,9.20884181547975,0.60984735553314,0.543625731285377,0.856949451977477,-6.6680595610375,"unchanged"
"Q9NRR5",-0.0396567756483126,10.6501008649059,-0.583602810034645,0.561067114193913,0.867865447550442,-6.68366801564367,"unchanged"
"Q96CN7",0.039600239081274,10.5175020519162,0.608857114082411,0.544278799728358,0.857576757623073,-6.66866084124764,"unchanged"
"P26641",-0.0395869778585762,14.2352434724702,-0.697408245375587,0.487492555278668,0.826317359825964,-6.61106882540241,"unchanged"
"Q8TEW0",-0.0395861333135343,8.26672795093117,-0.662925295557764,0.509211723528832,0.837474512857488,-6.63441447481066,"unchanged"
"P52429",-0.0395795765128302,7.24692212074198,-0.46004515070876,0.646684386634572,0.901836756755524,-6.74799035425057,"unchanged"
"Q14849",-0.0395740814982668,4.68789438711361,-0.280624066353801,0.779695707795544,0.948107146636796,-6.81438382232654,"unchanged"
"O15327",0.0395688639873271,5.97912808952741,0.627949287979424,0.531757830597807,0.851539518879246,-6.65689736630748,"unchanged"
"Q562R1",-0.0395466044906403,12.5248857265159,-0.34948266562758,0.7276104319818,0.935299850546826,-6.79269501262667,"unchanged"
"Q12841",0.0395218875905261,7.41328406729732,0.697696312222392,0.487313284489219,0.826317359825964,-6.61086887053279,"unchanged"
"P30419",-0.0395114192242794,11.1754829969075,-0.619387485338145,0.537354381682192,0.854248129797769,-6.66221714391225,"unchanged"
"Q6PKC3",0.0395105838450229,6.69495042921037,0.534193323124892,0.594632990329662,0.88270926450326,-6.71120504452325,"unchanged"
"Q8N0Y2",0.0394906936632706,6.93388380853905,0.566928227395528,0.572290030311623,0.871635954927066,-6.69323120259731,"unchanged"
"Q5HYI7",-0.0394817864420514,8.36011666301098,-0.501887966190977,0.6170725601754,0.890201832882154,-6.72790232843564,"unchanged"
"Q8TAP8",-0.0394796126849313,7.9255081457139,-0.493236653986672,0.623145389733223,0.893479766818741,-6.73219816396547,"unchanged"
"P21333",0.0394711495167641,15.2720504992757,0.674264475494749,0.502013227555282,0.835791974450411,-6.6268667827591,"unchanged"
"O60762",-0.0394665648594721,11.513967947713,-0.743271489311076,0.459412019483334,0.806765882693866,-6.5782069862555,"unchanged"
"Q02487",0.0394647314446583,6.29061574530913,0.571350786590521,0.569302845407859,0.870943468473922,-6.69072157706421,"unchanged"
"O14653",-0.0394622802453242,8.98798225286482,-0.66844156744906,0.505702945509882,0.836732048256553,-6.63075849814091,"unchanged"
"O60613",-0.0394303598717975,9.34139812833557,-0.686914730464577,0.494047560957874,0.831119654374888,-6.61829701510208,"unchanged"
"P82912",-0.0394162493068855,9.65626455034033,-0.623845959839883,0.534436276203057,0.853038746181723,-6.65945594937038,"unchanged"
"Q8WVL7",0.0394135766558019,5.72954652926833,0.413856152950378,0.680044866254643,0.916183771178711,-6.76814544092818,"unchanged"
"O75330",-0.0394042414791986,9.84598876967038,-0.611453714537021,0.542567175720287,0.856949451977477,-6.66708211131679,"unchanged"
"Q9HBL0",-0.039372651063923,8.05620773277883,-0.591335009032316,0.555899967283968,0.865192222705838,-6.6791401564222,"unchanged"
"Q99798",-0.0393445851550425,12.0228783236267,-0.659180973518762,0.511600780436314,0.839700979059527,-6.63687899199991,"unchanged"
