"PG.ProteinGroups","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"Q6UW56",-0.957182406827972,8.54135579685724,-4.70608630195826,2.62316987266532e-05,0.000148271310736294,2.34609440001072,"unchanged"
"Q9UHY7",-0.957016704306081,10.4112914526799,-5.94105824354809,4.41832179991669e-07,5.07727626650929e-06,6.27077882185116,"unchanged"
"O00264",0.956952793450938,12.9542953003864,6.35558551919224,1.10003619042991e-07,2.06678505843409e-06,7.6120906668554,"unchanged"
"Q9H4A5",0.956647645331677,8.02800266482517,5.76414669801902,7.98847677608554e-07,7.76483273227471e-06,5.69991508920477,"unchanged"
"Q13409",0.956489868151111,11.1607912029595,6.50583045300752,6.64526436176359e-08,1.55395577104789e-06,8.09854525940593,"unchanged"
"P18440",0.956459823006111,6.4496031230926,5.72190082702054,9.20028106531644e-07,8.62427208913661e-06,5.56383416401758,"unchanged"
"Q8IX03",-0.956445589758082,8.23402084986659,-5.86544989809285,5.69171600032263e-07,6.03807774229348e-06,6.02662501484773,"unchanged"
"Q96AP4",-0.956348982333129,5.45482152956626,-5.57623499723482,1.49616217942337e-06,1.23249193170491e-05,5.09551157338783,"unchanged"
"Q9H3U1",-0.956051007444813,11.6015019634049,-5.44472992859355,2.31803461388938e-06,1.75496806842678e-05,4.67412764684406,"unchanged"
"P41221",-0.955904391340185,7.55495699259569,-5.32869281887628,3.4072927769198e-06,2.40124757075194e-05,4.30364720815449,"unchanged"
"Q9NRG7",0.955686813520755,7.09038129586348,6.29418694155804,1.35170287125149e-07,2.34699865808717e-06,7.41327570557768,"unchanged"
"Q9H6S0",-0.955500275103718,8.84031724884899,-5.6034041925733,1.36656825717127e-06,1.15506812953826e-05,5.18274719773014,"unchanged"
"O75427",-0.954993105857127,7.26272866213371,-6.51144037556472,6.52141020838145e-08,1.54576968399755e-06,8.11670463489706,"unchanged"
"P78536",0.954647476031256,7.83073322969345,5.78637631908641,7.41607712132156e-07,7.33930089628853e-06,5.7715614117448,"unchanged"
"Q9BXV9",0.954283824055219,9.69132516715381,7.6967487426625,1.26050763365738e-09,2.96908002081824e-07,11.9245282332785,"unchanged"
"P53367",-0.954257100564394,11.3521073923581,-5.70410236707137,9.76408339477736e-07,9.0071857318312e-06,5.5065346080446,"unchanged"
"P25208",-0.954140464372838,9.64200728306717,-5.24035141776843,4.56473254340786e-06,3.06887486179004e-05,4.02256239679877,"unchanged"
"O94915",-0.954125761443027,8.6541185706961,-6.81974177516429,2.32169055508599e-08,8.73241367932873e-07,9.1136378136531,"unchanged"
"Q9H4A4",-0.953702917944492,11.111814847727,-6.56413422029051,5.46519808487043e-08,1.38724041367283e-06,8.28725207313758,"unchanged"
"Q8NBJ7",0.953409288575836,11.2980191279763,5.63809050972612,1.2172193077481e-06,1.0532073328512e-05,5.29419886288303,"unchanged"
